,index,req_accuracy,req_delay,req_id,served_delay,served_model,served_pred,true_answer,high_acc,low_delay,client_id,served_model_name,served_accuracy,QoS,algorithm,mc_run
0,0,1.0,0.5,0,0.5609750747680664,3,923,923,True,False,jetson2,MobileNet,0.6,0.7695124626159668,Optimal,0
1,1,1.0,0.5,1,0.33446335792541504,3,555,864,True,False,jetson2,MobileNet,0.6,0.8,Optimal,0
2,2,1.0,0.5,2,0.23421502113342285,3,888,888,True,False,jetson2,MobileNet,0.6,0.8,Optimal,0
3,3,1.0,0.5,3,0.18260788917541504,3,970,795,True,False,jetson2,MobileNet,0.6,0.8,Optimal,0
4,4,1.0,0.5,4,0.17213129997253418,3,807,807,True,False,jetson2,MobileNet,0.6,0.8,Optimal,0
5,5,1.0,0.5,5,0.15189576148986816,3,699,699,True,False,jetson2,MobileNet,0.6,0.8,Optimal,0
6,6,1.0,0.5,6,0.1542527675628662,3,972,972,True,False,jetson2,MobileNet,0.6,0.8,Optimal,0
7,7,1.0,0.5,7,0.19225668907165527,3,435,666,True,False,jetson2,MobileNet,0.6,0.8,Optimal,0
8,8,1.0,0.5,8,0.1854100227355957,3,923,923,True,False,jetson2,MobileNet,0.6,0.8,Optimal,0
9,9,1.0,0.5,9,0.15755009651184082,3,671,906,True,False,jetson2,MobileNet,0.6,0.8,Optimal,0
10,10,0.0,0.0,20,0.5726797580718994,0,802,603,False,True,jetson,AlexNet,0.4,0.7136601209640503,Optimal,0
11,11,0.0,0.0,21,0.2754027843475342,0,377,377,False,True,jetson,AlexNet,0.4,0.8622986078262329,Optimal,0
12,12,0.0,0.0,22,0.21323680877685547,0,370,370,False,True,jetson,AlexNet,0.4,0.8933815956115723,Optimal,0
13,13,0.0,0.0,23,0.161820650100708,0,775,411,False,True,jetson,AlexNet,0.4,0.919089674949646,Optimal,0
14,14,0.0,0.0,24,0.14933562278747559,0,562,562,False,True,jetson,AlexNet,0.4,0.9253321886062622,Optimal,0
15,15,0.0,0.0,25,0.18723607063293457,0,835,640,False,True,jetson,AlexNet,0.4,0.9063819646835327,Optimal,0
16,16,0.0,0.0,26,0.15624427795410156,0,563,363,False,True,jetson,AlexNet,0.4,0.9218778610229492,Optimal,0
17,17,0.0,0.0,27,0.17565178871154785,0,603,447,False,True,jetson,AlexNet,0.4,0.9121741056442261,Optimal,0
18,18,0.0,0.0,28,0.18781185150146484,0,907,398,False,True,jetson,AlexNet,0.4,0.9060940742492676,Optimal,0
19,19,0.0,0.0,29,0.18012094497680664,0,409,409,False,True,jetson,AlexNet,0.4,0.9099395275115967,Optimal,0
20,20,1.0,0.0,10,0.30452656745910645,3,154,154,True,True,rpi4-1,MobileNet,0.6,0.6477367162704468,Optimal,0
21,21,1.0,0.0,11,0.25914430618286133,3,229,229,True,True,rpi4-1,MobileNet,0.6,0.6704278469085694,Optimal,0
22,22,1.0,0.0,12,0.21517038345336914,3,186,189,True,True,rpi4-1,MobileNet,0.6,0.6924148082733155,Optimal,0
23,23,1.0,0.0,13,0.20399093627929688,3,122,122,True,True,rpi4-1,MobileNet,0.6,0.6980045318603516,Optimal,0
24,24,1.0,0.0,14,0.21024131774902344,3,294,294,True,True,rpi4-1,MobileNet,0.6,0.6948793411254883,Optimal,0
25,25,1.0,0.0,15,0.22607851028442383,3,268,268,True,True,rpi4-1,MobileNet,0.6,0.6869607448577881,Optimal,0
26,26,1.0,0.0,16,0.2354881763458252,3,305,302,True,True,rpi4-1,MobileNet,0.6,0.6822559118270874,Optimal,0
27,27,1.0,0.0,17,0.2243492603302002,3,258,169,True,True,rpi4-1,MobileNet,0.6,0.6878253698349,Optimal,0
28,28,1.0,0.0,18,0.2579655647277832,3,207,207,True,True,rpi4-1,MobileNet,0.6,0.6710172176361084,Optimal,0
29,29,1.0,0.0,19,0.2584660053253174,3,243,242,True,True,rpi4-1,MobileNet,0.6,0.6707669973373414,Optimal,0
30,0,1.0,0.0,10,0.23516583442687988,3,154,154,True,True,rpi4-1,MobileNet,0.6,0.6824170827865601,EGP,0
31,1,1.0,0.0,11,0.2015976905822754,3,229,229,True,True,rpi4-1,MobileNet,0.6,0.6992011547088623,EGP,0
32,2,1.0,0.0,12,0.24446320533752441,3,186,189,True,True,rpi4-1,MobileNet,0.6,0.6777683973312378,EGP,0
33,3,1.0,0.0,13,0.22649073600769043,3,122,122,True,True,rpi4-1,MobileNet,0.6,0.6867546319961548,EGP,0
34,4,1.0,0.0,14,0.20797991752624512,3,294,294,True,True,rpi4-1,MobileNet,0.6,0.6960100412368775,EGP,0
35,5,1.0,0.0,15,0.25583887100219727,3,268,268,True,True,rpi4-1,MobileNet,0.6,0.6720805644989014,EGP,0
36,6,1.0,0.0,16,0.22331786155700684,3,305,302,True,True,rpi4-1,MobileNet,0.6,0.6883410692214966,EGP,0
37,7,1.0,0.0,17,0.20058989524841309,3,258,169,True,True,rpi4-1,MobileNet,0.6,0.6997050523757935,EGP,0
38,8,1.0,0.0,18,0.37711167335510254,3,207,207,True,True,rpi4-1,MobileNet,0.6,0.6114441633224488,EGP,0
39,9,1.0,0.0,19,0.306063175201416,3,243,242,True,True,rpi4-1,MobileNet,0.6,0.646968412399292,EGP,0
40,10,1.0,0.5,0,0.22522521018981934,3,923,923,True,False,jetson2,MobileNet,0.6,0.8,EGP,0
41,11,1.0,0.5,1,0.30869603157043457,3,555,864,True,False,jetson2,MobileNet,0.6,0.8,EGP,0
42,12,1.0,0.5,2,0.21494436264038086,3,888,888,True,False,jetson2,MobileNet,0.6,0.8,EGP,0
43,13,1.0,0.5,3,0.21044635772705078,3,970,795,True,False,jetson2,MobileNet,0.6,0.8,EGP,0
