,index,req_accuracy,req_delay,req_id,served_delay,served_model,served_pred,true_answer,high_acc,low_delay,client_id,served_model_name,served_accuracy,QoS,algorithm,mc_run
0,0,1.0,0.0,20,0.4883894920349121,3,44,52,True,True,rpi4-1,MobileNet,0.85,0.680805253982544,Optimal,0
1,1,1.0,0.0,21,0.26850152015686035,3,268,268,True,True,rpi4-1,MobileNet,0.85,0.7907492399215699,Optimal,0
2,2,1.0,0.0,22,0.3503386974334717,3,323,323,True,True,rpi4-1,MobileNet,0.85,0.7498306512832642,Optimal,0
3,3,1.0,0.0,23,0.25264596939086914,3,188,188,True,True,rpi4-1,MobileNet,0.85,0.7986770153045655,Optimal,0
4,4,1.0,0.0,24,0.354816198348999,3,156,156,True,True,rpi4-1,MobileNet,0.85,0.7475919008255005,Optimal,0
5,5,1.0,0.0,25,0.2867271900177002,3,98,98,True,True,rpi4-1,MobileNet,0.85,0.78163640499115,Optimal,0
6,6,1.0,0.0,26,0.4610707759857178,3,228,228,True,True,rpi4-1,MobileNet,0.85,0.6944646120071412,Optimal,0
7,7,1.0,0.0,27,0.21714091300964355,3,161,163,True,True,rpi4-1,MobileNet,0.85,0.8164295434951783,Optimal,0
8,8,1.0,0.0,28,0.21403074264526367,3,236,236,True,True,rpi4-1,MobileNet,0.85,0.8179846286773682,Optimal,0
9,9,1.0,0.0,29,0.25928568840026855,3,109,109,True,True,rpi4-1,MobileNet,0.85,0.7953571557998658,Optimal,0
10,10,0.0,0.0,10,0.7302591800689697,0,401,541,False,True,jetson,AlexNet,0.5,0.6348704099655151,Optimal,0
11,11,0.0,0.0,11,0.3441140651702881,0,345,345,False,True,jetson,AlexNet,0.5,0.827942967414856,Optimal,0
12,12,0.0,0.0,12,0.2405855655670166,0,553,553,False,True,jetson,AlexNet,0.5,0.8797072172164917,Optimal,0
13,13,0.0,0.0,13,0.1955890655517578,0,591,591,False,True,jetson,AlexNet,0.5,0.9022054672241211,Optimal,0
14,14,0.0,0.0,14,0.21593213081359863,0,353,512,False,True,jetson,AlexNet,0.5,0.8920339345932007,Optimal,0
15,15,0.0,0.0,15,0.14517474174499512,0,352,352,False,True,jetson,AlexNet,0.5,0.9274126291275024,Optimal,0
16,16,0.0,0.0,16,0.12398505210876465,0,509,494,False,True,jetson,AlexNet,0.5,0.9380074739456177,Optimal,0
17,17,0.0,0.0,17,0.16498732566833496,0,615,615,False,True,jetson,AlexNet,0.5,0.9175063371658325,Optimal,0
18,18,0.0,0.0,18,0.18294382095336914,0,348,349,False,True,jetson,AlexNet,0.5,0.9085280895233154,Optimal,0
19,19,0.0,0.0,19,0.1852097511291504,0,698,663,False,True,jetson,AlexNet,0.5,0.9073951244354248,Optimal,0
20,20,1.0,0.5,0,0.7314341068267822,3,846,846,True,False,jetson2,MobileNet,0.85,0.8092829465866089,Optimal,0
21,21,1.0,0.5,1,0.3097262382507324,3,668,668,True,False,jetson2,MobileNet,0.85,0.925,Optimal,0
22,22,1.0,0.5,2,0.2247295379638672,3,851,851,True,False,jetson2,MobileNet,0.85,0.925,Optimal,0
23,23,1.0,0.5,3,0.18784403800964355,3,728,728,True,False,jetson2,MobileNet,0.85,0.925,Optimal,0
24,24,1.0,0.5,4,0.19865179061889648,3,739,739,True,False,jetson2,MobileNet,0.85,0.925,Optimal,0
25,25,1.0,0.5,5,0.15375161170959473,3,919,919,True,False,jetson2,MobileNet,0.85,0.925,Optimal,0
26,26,1.0,0.5,6,0.1574995517730713,3,763,740,True,False,jetson2,MobileNet,0.85,0.925,Optimal,0
27,27,1.0,0.5,7,0.20018815994262695,3,783,783,True,False,jetson2,MobileNet,0.85,0.925,Optimal,0
28,28,1.0,0.5,8,0.19008970260620117,3,916,916,True,False,jetson2,MobileNet,0.85,0.925,Optimal,0
29,29,1.0,0.5,9,0.1931447982788086,3,930,930,True,False,jetson2,MobileNet,0.85,0.925,Optimal,0
30,0,1.0,0.0,20,0.23864340782165527,3,44,52,True,True,rpi4-1,MobileNet,0.85,0.8056782960891724,EGP,0
31,1,1.0,0.0,21,0.20143532752990723,3,268,268,True,True,rpi4-1,MobileNet,0.85,0.8242823362350464,EGP,0
32,2,1.0,0.0,22,0.21011614799499512,3,323,323,True,True,rpi4-1,MobileNet,0.85,0.8199419260025025,EGP,0
33,3,1.0,0.0,23,0.21720051765441895,3,188,188,True,True,rpi4-1,MobileNet,0.85,0.8163997411727906,EGP,0
34,4,1.0,0.0,24,0.2268199920654297,3,156,156,True,True,rpi4-1,MobileNet,0.85,0.8115900039672852,EGP,0
35,5,1.0,0.0,25,0.21561932563781738,3,98,98,True,True,rpi4-1,MobileNet,0.85,0.8171903371810914,EGP,0
