,index,req_accuracy,req_delay,req_id,served_delay,served_model,served_pred,true_answer,high_acc,low_delay,client_id,served_model_name,served_accuracy,QoS,algorithm,mc_run
0,0,1.0,0.0,20,0.46979784965515137,2,260,260,True,True,rpi4-1,GoogLeNet,0.7,0.7325505375862121,Optimal,0
1,1,1.0,0.0,21,0.35547971725463867,2,3,3,True,True,rpi4-1,GoogLeNet,0.7,0.7611300706863403,Optimal,0
2,2,1.0,0.0,22,0.36778903007507324,2,303,303,True,True,rpi4-1,GoogLeNet,0.7,0.7580527424812317,Optimal,0
3,3,1.0,0.0,23,0.35340118408203125,2,60,60,True,True,rpi4-1,GoogLeNet,0.7,0.7616497039794922,Optimal,0
4,4,1.0,0.0,24,0.31985020637512207,2,76,76,True,True,rpi4-1,GoogLeNet,0.7,0.7700374484062195,Optimal,0
5,5,1.0,0.0,25,0.3502695560455322,2,311,312,True,True,rpi4-1,GoogLeNet,0.7,0.7624326109886169,Optimal,0
6,6,1.0,0.0,26,0.34960317611694336,2,35,35,True,True,rpi4-1,GoogLeNet,0.7,0.7625992059707641,Optimal,0
7,7,1.0,0.0,27,0.3022117614746094,2,10,10,True,True,rpi4-1,GoogLeNet,0.7,0.7744470596313476,Optimal,0
8,8,1.0,0.0,28,0.3821287155151367,2,216,216,True,True,rpi4-1,GoogLeNet,0.7,0.7544678211212158,Optimal,0
9,9,1.0,0.0,29,0.30504846572875977,2,213,213,True,True,rpi4-1,GoogLeNet,0.7,0.77373788356781,Optimal,0
10,10,1.0,0.5,0,0.8349864482879639,2,714,714,True,False,jetson2,GoogLeNet,0.7,0.766253387928009,Optimal,0
11,11,1.0,0.5,1,0.40416765213012695,2,562,668,True,False,jetson2,GoogLeNet,0.7,0.85,Optimal,0
12,12,1.0,0.5,2,0.4035921096801758,2,861,861,True,False,jetson2,GoogLeNet,0.7,0.85,Optimal,0
13,13,1.0,0.5,3,0.31243038177490234,2,485,754,True,False,jetson2,GoogLeNet,0.7,0.85,Optimal,0
14,14,1.0,0.5,4,0.2965433597564697,2,746,746,True,False,jetson2,GoogLeNet,0.7,0.85,Optimal,0
15,15,1.0,0.5,5,0.3121039867401123,2,924,934,True,False,jetson2,GoogLeNet,0.7,0.85,Optimal,0
