,index,req_accuracy,req_delay,req_id,served_delay,served_model,served_pred,true_answer,client_id,served_model_name,served_accuracy,QoS,algorithm
0,0,0.9782306125966413,0.10591698037026233,100,0.8715932369232178,3,716,716,rpi4-1,MobileNet,0.7123287671232876,0.6756300131250843,Optimal
1,1,0.8415625525236576,0.08498513149850039,101,0.8503420352935791,3,608,474,rpi4-1,MobileNet,0.7123287671232876,0.7440438813510453,Optimal
2,2,0.8757396523611812,0.004883746996730137,102,1.0506393909454346,3,978,977,rpi4-1,MobileNet,0.7123287671232876,0.6568556463938771,Optimal
3,3,0.9035606170685327,0.005737046290119657,103,1.0159950256347656,3,742,623,rpi4-1,MobileNet,0.7123287671232876,0.6518195801912159,Optimal
4,4,0.7581364513526094,0.022433684766896483,104,0.532029390335083,3,210,210,rpi4-1,MobileNet,0.7123287671232876,0.8496972314932925,Optimal
5,5,0.694471592959215,0.23744465684278337,105,0.31686973571777344,3,417,417,rpi4-1,MobileNet,0.7123287671232876,0.9801437302812525,Optimal
6,6,0.9446086803456568,0.0809835150971781,106,0.2653367519378662,3,939,943,rpi4-1,MobileNet,0.7123287671232876,0.8377717341786434,Optimal
7,7,0.9297223708320642,0.008982702176568434,107,0.3170657157897949,3,152,152,rpi4-1,MobileNet,0.7123287671232876,0.8142824447423052,Optimal
8,8,0.7818324946128141,0.13352883863729542,108,0.31330370903015137,3,297,297,rpi4-1,MobileNet,0.7123287671232876,0.9203044186570228,Optimal
9,9,0.7761353774426385,0.10089379614074306,109,0.2547333240509033,3,271,269,rpi4-1,MobileNet,0.7123287671232876,0.9296368128627845,Optimal
10,10,0.9705277566971781,0.01484858020346355,110,0.27350831031799316,3,980,980,rpi4-1,MobileNet,0.7123287671232876,0.8062355726844224,Optimal
11,11,0.9034625754566238,0.052554573020476524,111,0.2617971897125244,3,9,9,rpi4-1,MobileNet,0.7123287671232876,0.8521224416603199,Optimal
