,index,req_accuracy,req_delay,req_id,served_delay,served_model,served_pred,true_answer,client_id,served_model_name,served_accuracy,QoS,algorithm
0,0,0.7993522376697744,0.04520586705254176,10,1.1735782623291016,1,293,293,rpi4-1,DenseNet,0.6333333333333333,0.6348974490126396,Optimal
1,1,0.9150824977338401,0.1377432210548828,11,0.7417201995849609,1,659,544,rpi4-1,DenseNet,0.6333333333333333,0.7081311731672271,Optimal
2,2,0.9126170213325121,0.29792441424978894,12,0.7178864479064941,1,826,530,rpi4-1,DenseNet,0.6333333333333333,0.7553676475862343,Optimal
3,3,0.884370049311234,0.2976764266749278,13,0.7364065647125244,1,154,154,rpi4-1,DenseNet,0.6333333333333333,0.7647991075016505,Optimal
4,4,0.7321148357051666,0.35248106842480026,14,0.7109980583190918,1,582,962,rpi4-1,DenseNet,0.6333333333333333,0.8609800013405104,Optimal
5,5,0.80587057201842,0.06850480990349603,15,0.6907005310058594,1,998,987,rpi4-1,DenseNet,0.6333333333333333,0.7581824503818658,Optimal
6,6,0.949372327354153,0.016641220764865412,16,0.6661438941955566,1,688,688,rpi4-1,DenseNet,0.6333333333333333,0.6796048346319173,Optimal
7,7,0.971641888253724,0.1012332742257295,17,0.7062749862670898,1,846,846,rpi4-1,DenseNet,0.6333333333333333,0.6795852945294645,Optimal
8,8,0.8774398007465504,0.04605264021414135,18,0.7205765247344971,1,56,56,rpi4-1,DenseNet,0.6333333333333333,0.7093157951633025,Optimal
9,9,0.9675191620124308,0.7882205584425821,19,0.7326040267944336,1,186,151,rpi4-1,DenseNet,0.6333333333333333,0.8329070856604512,Optimal
10,10,0.8695721950867998,0.02784050336172582,20,1.2439475059509277,1,136,136,jetson2,DenseNet,0.6333333333333333,0.5778538184759663,Optimal
11,11,0.7311319331883022,0.7324633146056694,21,0.7081718444824219,1,838,838,jetson2,DenseNet,0.6333333333333333,0.9511007000725156,Optimal
12,12,0.7931355727074875,0.24502103898688893,22,0.6570005416870117,1,742,713,jetson2,DenseNet,0.6333333333333333,0.8171040046378922,Optimal
13,13,0.9429472007793668,0.3389630210642617,23,0.874871015548706,1,364,364,jetson2,DenseNet,0.6333333333333333,0.7112160676558721,Optimal
14,14,0.7033240959822898,0.7760646592644778,24,0.8135569095611572,1,61,61,jetson2,DenseNet,0.6333333333333333,0.9556315561013519,Optimal
15,15,0.9769305308690708,0.00709711267991886,25,0.8161652088165283,1,530,605,jetson2,DenseNet,0.6333333333333333,0.6259343771979788,Optimal
16,16,0.9666676082958909,0.21125450170065022,26,0.8202557563781738,1,859,859,jetson2,DenseNet,0.6333333333333333,0.6810825488493403,Optimal
17,17,0.9724037476091053,0.706209608118667,27,0.8169326782226562,1,609,609,jetson2,DenseNet,0.6333333333333333,0.8027840253361167,Optimal
