,index,req_accuracy,req_delay,req_id,served_delay,served_model,served_pred,true_answer,high_acc,low_delay,algorithm,mc_run,client_id,served_model_name,served_pre_accuracy,QoS,served_accuracy,post-QoS
0,0,1.0,0.0,20,0.30951690673828125,3,242,163,True,True,Optimal,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.4358974358974359,0.5631902645795773
1,1,1.0,0.0,21,0.3006718158721924,3,308,308,True,True,Optimal,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.4358974358974359,0.5676128100126218
2,2,1.0,0.0,22,0.2418229579925537,3,10,10,True,True,Optimal,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.4358974358974359,0.5970372389524411
3,3,1.0,0.0,23,0.2409648895263672,3,42,66,True,True,Optimal,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.4358974358974359,0.5974662731855344
4,4,1.0,0.0,24,0.23061847686767578,3,192,192,True,True,Optimal,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.4358974358974359,0.6026394795148801
5,5,1.0,0.0,25,0.23340582847595215,3,143,143,True,True,Optimal,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.4358974358974359,0.6012458037107419
6,6,1.0,0.0,26,0.2727172374725342,3,35,35,True,True,Optimal,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.4358974358974359,0.5815900992124509
7,7,1.0,0.0,27,0.21140551567077637,3,29,26,True,True,Optimal,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.4358974358974359,0.6122459601133298
8,8,1.0,0.0,28,0.21200871467590332,3,178,178,True,True,Optimal,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.4358974358974359,0.6119443606107663
9,9,1.0,0.0,29,0.1979982852935791,3,71,119,True,True,Optimal,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.4358974358974359,0.6189495753019284
10,10,1.0,0.0,20,0.27588701248168945,3,242,163,True,True,EGP,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.4358974358974359,0.5800052117078732
11,11,1.0,0.0,21,0.22321629524230957,3,308,308,True,True,EGP,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.4358974358974359,0.6063405703275632
12,12,1.0,0.0,22,0.2230052947998047,3,10,10,True,True,EGP,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.4358974358974359,0.6064460705488156
13,13,1.0,0.0,23,0.27750325202941895,3,42,66,True,True,EGP,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.4358974358974359,0.5791970919340085
14,14,1.0,0.0,24,0.23178935050964355,3,192,192,True,True,EGP,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.4358974358974359,0.6020540426938962
15,15,1.0,0.0,25,0.23543691635131836,3,143,143,True,True,EGP,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.4358974358974359,0.6002302597730588
16,16,1.0,0.0,26,0.23852872848510742,3,35,35,True,True,EGP,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.4358974358974359,0.5986843537061642
17,17,1.0,0.0,27,0.20557427406311035,3,29,26,True,True,EGP,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.4358974358974359,0.6151615809171628
18,18,1.0,0.0,28,0.2195749282836914,3,178,178,True,True,EGP,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.4358974358974359,0.6081612538068722
19,19,1.0,0.0,29,0.17445826530456543,3,71,119,True,True,EGP,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.4358974358974359,0.6307195852964352
20,20,1.0,0.0,20,0.29673218727111816,3,242,163,True,True,AGP,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.4358974358974359,0.5695826243131589
21,21,1.0,0.0,21,0.23543691635131836,3,308,308,True,True,AGP,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.4358974358974359,0.6002302597730588
