,index,req_accuracy,req_delay,req_id,served_delay,served_model,served_pred,true_answer,high_acc,low_delay,algorithm,mc_run,client_id,served_model_name,served_accuracy,served_pre_accuracy,post-QoS,QoS
0,0,1.0,0.0,10,0.29012036323547363,3,171,171,True,True,Optimal,0,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.7262662679454086,0.8098070827125
1,1,1.0,0.0,11,0.2080070972442627,3,192,192,True,True,Optimal,0,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.7673229009410141,0.8098070827125
2,2,1.0,0.0,12,0.216019868850708,3,95,95,True,True,Optimal,0,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.7633165151377914,0.8098070827125
3,3,1.0,0.0,13,0.2751498222351074,3,234,234,True,True,Optimal,0,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.7337515384455917,0.8098070827125
4,4,1.0,0.0,14,0.24637389183044434,3,164,164,True,True,Optimal,0,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.7481395036479233,0.8098070827125
5,5,1.0,0.0,15,0.2189934253692627,3,46,40,True,True,Optimal,0,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.7618297368785141,0.8098070827125
6,6,1.0,0.0,16,0.2100052833557129,3,199,199,True,True,Optimal,0,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.766323807885289,0.8098070827125
7,7,1.0,0.0,17,0.19173002243041992,3,30,32,True,True,Optimal,0,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.7754614383479355,0.8098070827125
8,8,1.0,0.0,18,0.26981449127197266,3,52,52,True,True,Optimal,0,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.7364192039271591,0.8098070827125
9,9,1.0,0.0,19,0.21486353874206543,3,252,252,True,True,Optimal,0,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.7638946801921127,0.8098070827125
10,10,1.0,0.0,10,0.22028040885925293,3,171,171,True,True,EGP,0,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.761186245133519,0.8098070827125
11,11,1.0,0.0,11,0.21704316139221191,3,192,192,True,True,EGP,0,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.7628048688670395,0.8098070827125
12,12,1.0,0.0,12,0.25459742546081543,3,95,95,True,True,EGP,0,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.7440277368327377,0.8098070827125
13,13,1.0,0.0,13,0.19502043724060059,3,234,234,True,True,EGP,0,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.7738162309428451,0.8098070827125
14,14,1.0,0.0,14,0.21919512748718262,3,164,164,True,True,EGP,0,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.7617288858195541,0.8098070827125
15,15,1.0,0.0,15,0.20424866676330566,3,46,40,True,True,EGP,0,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.7692021161814926,0.8098070827125
16,16,1.0,0.0,16,0.2323920726776123,3,199,199,True,True,EGP,0,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.7551304132243393,0.8098070827125
17,17,1.0,0.0,17,0.2513439655303955,3,30,32,True,True,EGP,0,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.7456544667979477,0.8098070827125
18,18,1.0,0.0,18,0.21127891540527344,3,52,52,True,True,EGP,0,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.7656869918605087,0.8098070827125
19,19,1.0,0.0,19,0.20137786865234375,3,252,252,True,True,EGP,0,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.7706375152369735,0.8098070827125
20,20,1.0,0.0,10,0.25868725776672363,3,171,171,True,True,AGP,0,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.7419828206797836,0.8098070827125
21,21,1.0,0.0,11,0.22787857055664062,3,192,192,True,True,AGP,0,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.7573871642848251,0.8098070827125
22,22,1.0,0.0,12,0.2157607078552246,3,95,95,True,True,AGP,0,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.7634460956355331,0.8098070827125
23,23,1.0,0.0,13,0.21236705780029297,3,234,234,True,True,AGP,0,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.7651429206629989,0.8098070827125
24,24,1.0,0.0,14,0.2153177261352539,3,164,164,True,True,AGP,0,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.7636675864955185,0.8098070827125
25,25,1.0,0.0,15,0.20531582832336426,3,46,40,True,True,AGP,0,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.7686685354014633,0.8098070827125
26,26,1.0,0.0,16,0.2033548355102539,3,199,199,True,True,AGP,0,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.7696490318080185,0.8098070827125
27,27,1.0,0.0,17,0.21865391731262207,3,30,32,True,True,AGP,0,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.7619994909068344,0.8098070827125
28,28,1.0,0.0,18,0.22328758239746094,3,52,52,True,True,AGP,0,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.759682658364415,0.8098070827125
29,29,1.0,0.0,19,0.21458148956298828,3,252,252,True,True,AGP,0,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.7640357047816513,0.8098070827125
30,30,1.0,0.0,10,0.2431626319885254,3,171,171,True,True,Knapsack,0,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.7497451335688827,0.8098070827125
31,31,1.0,0.0,11,0.2050766944885254,3,192,192,True,True,Knapsack,0,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.7687881023188827,0.8098070827125
32,32,1.0,0.0,12,0.21179556846618652,3,95,95,True,True,Knapsack,0,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.7654286653300522,0.8098070827125
33,33,1.0,0.0,13,0.20962238311767578,3,234,234,True,True,Knapsack,0,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.7665152580043075,0.8098070827125
34,34,1.0,0.0,14,0.2044663429260254,3,164,164,True,True,Knapsack,0,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.7690932781001327,0.8098070827125
35,35,1.0,0.0,15,0.20684361457824707,3,46,40,True,True,Knapsack,0,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.7679046422740219,0.8098070827125
36,36,1.0,0.0,16,0.2649271488189697,3,199,199,True,True,Knapsack,0,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.7388628751536606,0.8098070827125
37,37,1.0,0.0,17,0.22239899635314941,3,30,32,True,True,Knapsack,0,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.7601269513865707,0.8098070827125
38,38,1.0,0.0,18,0.21825933456420898,3,52,52,True,True,Knapsack,0,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.7621967822810409,0.8098070827125
39,39,1.0,0.0,19,0.20639777183532715,3,252,252,True,True,Knapsack,0,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.7681275636454818,0.8098070827125
40,40,1.0,0.0,10,0.29678845405578613,2,171,171,True,True,Random,0,rpi4-1,GoogLeNet,0.6984126984126984,0.69778,0.7008121221784561,0.7341957254281251
41,41,1.0,0.0,11,0.5976085662841797,1,192,192,True,True,Random,0,rpi4-1,DenseNet,0.7959183673469388,0.77138,0.5991549005313795,0.48297776649687496
42,42,1.0,0.0,12,0.2576272487640381,5,95,95,True,True,Random,0,rpi4-1,SqueezeNet,0.6,0.58092,0.671186375617981,0.723631531590625
43,43,1.0,0.0,13,0.266385555267334,4,214,234,True,True,Random,0,rpi4-1,ResNet,0.6949152542372882,0.69758,0.714264849484977,0.76534232088125
44,44,1.0,0.0,14,0.2878410816192627,2,164,164,True,True,Random,0,rpi4-1,GoogLeNet,0.6984126984126984,0.69778,0.7052858083967178,0.7341957254281251
45,45,1.0,0.0,15,0.6108133792877197,1,46,40,True,True,Random,0,rpi4-1,DenseNet,0.7959183673469388,0.77138,0.5925524940296095,0.48297776649687496
46,46,1.0,0.0,16,0.22442841529846191,3,199,199,True,True,Random,0,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.7591122419139145,0.8098070827125
47,47,1.0,0.0,17,0.21229839324951172,3,30,32,True,True,Random,0,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.7651772529383896,0.8098070827125
48,48,1.0,0.0,18,0.20424270629882812,3,52,52,True,True,Random,0,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.7692050964137314,0.8098070827125
49,49,1.0,0.0,19,0.26036930084228516,4,252,252,True,True,Random,0,rpi4-1,ResNet,0.6949152542372882,0.69758,0.7172729766975015,0.76534232088125
50,50,1.0,0.0,10,0.2577691078186035,3,277,277,True,True,Optimal,1,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.7424418956538437,0.8098070827125
51,51,1.0,0.0,11,0.22740793228149414,3,206,221,True,True,Optimal,1,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.7576224834223984,0.8098070827125
52,52,1.0,0.0,12,0.2295689582824707,3,235,235,True,True,Optimal,1,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.7565419704219101,0.8098070827125
53,53,1.0,0.0,13,0.23439598083496094,3,201,201,True,True,Optimal,1,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.754128459145665,0.8098070827125
54,54,1.0,0.0,14,0.20377612113952637,3,209,209,True,True,Optimal,1,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.7694383889933822,0.8098070827125
55,55,1.0,0.0,15,0.20636701583862305,3,126,126,True,True,Optimal,1,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.7681429416438339,0.8098070827125
56,56,1.0,0.0,16,0.2014482021331787,3,20,20,True,True,Optimal,1,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.7706023484965561,0.8098070827125
57,57,1.0,0.0,17,0.2098381519317627,3,155,204,True,True,Optimal,1,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.7664073735972641,0.8098070827125
58,58,1.0,0.0,18,0.23656368255615234,3,230,230,True,True,Optimal,1,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.7530446082850693,0.8098070827125
59,59,1.0,0.0,19,0.23185014724731445,3,127,127,True,True,Optimal,1,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.7554013759394882,0.8098070827125
60,60,1.0,0.0,10,0.6614246368408203,3,277,277,True,True,EGP,1,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.5406141311427353,0.8098070827125
61,61,1.0,0.0,11,0.706376314163208,3,206,221,True,True,EGP,1,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.5181382924815414,0.8098070827125
62,62,1.0,0.0,12,0.7022082805633545,3,235,235,True,True,EGP,1,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.5202223092814682,0.8098070827125
63,63,1.0,0.0,13,0.7058496475219727,3,201,201,True,True,EGP,1,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.5184016258021591,0.8098070827125
64,64,1.0,0.0,14,0.6250283718109131,3,209,209,True,True,EGP,1,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.5588122636576889,0.8098070827125
65,65,1.0,0.0,15,0.2641744613647461,3,126,126,True,True,EGP,1,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.7392392188807724,0.8098070827125
66,66,1.0,0.0,16,0.16400361061096191,3,20,20,True,True,EGP,1,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.7893246442576645,0.8098070827125
67,67,1.0,0.0,17,0.1632382869720459,3,155,204,True,True,EGP,1,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.7897073060771225,0.8098070827125
68,68,1.0,0.0,18,0.1736593246459961,3,230,230,True,True,EGP,1,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.7844967872401474,0.8098070827125
69,69,1.0,0.0,19,0.1759181022644043,3,127,127,True,True,EGP,1,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.7833673984309433,0.8098070827125
70,70,1.0,0.0,10,0.22247767448425293,3,277,277,True,True,AGP,1,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.760087612321019,0.8098070827125
71,71,1.0,0.0,11,0.20247912406921387,3,206,221,True,True,AGP,1,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.7700868875285385,0.8098070827125
72,72,1.0,0.0,12,0.21056556701660156,3,235,235,True,True,AGP,1,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.7660436660548446,0.8098070827125
73,73,1.0,0.0,13,0.2182445526123047,3,201,201,True,True,AGP,1,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.7622041732569931,0.8098070827125
74,74,1.0,0.0,14,0.19862866401672363,3,209,209,True,True,AGP,1,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.7720121175547836,0.8098070827125
75,75,1.0,0.0,15,0.20843005180358887,3,126,126,True,True,AGP,1,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.767111423661351,0.8098070827125
76,76,1.0,0.0,16,0.22429180145263672,3,20,20,True,True,AGP,1,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.7591805488368271,0.8098070827125
77,77,1.0,0.0,17,0.22056055068969727,3,155,204,True,True,AGP,1,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.7610461742182968,0.8098070827125
78,78,1.0,0.0,18,0.21428537368774414,3,230,230,True,True,AGP,1,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.7641837627192734,0.8098070827125
79,79,1.0,0.0,19,0.21712303161621094,3,127,127,True,True,AGP,1,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.76276493375504,0.8098070827125
80,80,1.0,0.0,10,0.2580444812774658,3,277,277,True,True,Knapsack,1,rpi4-1,MobileNet,0.7426528991262907,0.71878,0.7423042089244125,0.8098070827125
