,index,req_accuracy,req_delay,req_id,served_delay,served_model,served_pred,true_answer,high_acc,low_delay,algorithm,mc_run,client_id,served_model_name,served_pre_accuracy,QoS,served_accuracy,post-QoS
0,0,1.0,0.0,20,0.30397772789001465,3,17,131,True,True,Optimal,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.6817102137767221,0.6888662429433537
1,1,1.0,0.0,21,0.21303415298461914,3,150,150,True,True,Optimal,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.6817102137767221,0.7343380303960515
2,2,1.0,0.0,22,0.20062518119812012,3,118,118,True,True,Optimal,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.6817102137767221,0.740542516289301
3,3,1.0,0.0,23,0.24798202514648438,3,506,79,True,True,Optimal,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.6817102137767221,0.7168640943151189
4,4,1.0,0.0,24,0.24724912643432617,3,290,290,True,True,Optimal,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.6817102137767221,0.717230543671198
5,5,1.0,0.0,25,0.24918508529663086,3,91,91,True,True,Optimal,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.6817102137767221,0.7162625642400456
6,6,1.0,0.0,26,0.22643327713012695,3,87,87,True,True,Optimal,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.6817102137767221,0.7276384683232976
7,7,1.0,0.0,27,0.23624396324157715,3,35,36,True,True,Optimal,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.6817102137767221,0.7227331252675725
8,8,1.0,0.0,28,0.26864194869995117,3,263,263,True,True,Optimal,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.6817102137767221,0.7065341325383855
9,9,1.0,0.0,29,0.24151015281677246,3,174,174,True,True,Optimal,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.6817102137767221,0.7201000304799748
10,10,1.0,0.0,20,0.237518310546875,3,17,131,True,True,EGP,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.6817102137767221,0.7220959516149236
11,11,1.0,0.0,21,0.2261219024658203,3,150,150,True,True,EGP,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.6817102137767221,0.7277941556554509
12,12,1.0,0.0,22,0.24220752716064453,3,118,118,True,True,EGP,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.6817102137767221,0.7197513433080388
13,13,1.0,0.0,23,0.22814249992370605,3,506,79,True,True,EGP,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.6817102137767221,0.726783856926508
14,14,1.0,0.0,24,0.2367241382598877,3,290,290,True,True,EGP,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.6817102137767221,0.7224930377584172
15,15,1.0,0.0,25,0.21045231819152832,3,91,91,True,True,EGP,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.6817102137767221,0.7356289477925969
16,16,1.0,0.0,26,0.20939946174621582,3,87,87,True,True,EGP,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.6817102137767221,0.7361553760152532
17,17,1.0,0.0,27,0.24917268753051758,3,35,36,True,True,EGP,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.6817102137767221,0.7162687631231023
18,18,1.0,0.0,28,0.21003365516662598,3,263,263,True,True,EGP,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.6817102137767221,0.7358382793050481
19,19,1.0,0.0,29,0.21663641929626465,3,174,174,True,True,EGP,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.6817102137767221,0.7325368972402287
20,20,1.0,0.0,20,0.23259925842285156,3,17,131,True,True,AGP,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.6817102137767221,0.7245554776769353
21,21,1.0,0.0,21,0.21673297882080078,3,150,150,True,True,AGP,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.6817102137767221,0.7324886174779607
22,22,1.0,0.0,22,0.19666385650634766,3,118,118,True,True,AGP,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.6817102137767221,0.7425231786351872
23,23,1.0,0.0,23,0.49160242080688477,3,506,79,True,True,AGP,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.6817102137767221,0.5950538964849187
24,24,1.0,0.0,24,0.6276752948760986,3,290,290,True,True,AGP,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.6817102137767221,0.5270174594503118
25,25,1.0,0.0,25,0.7051763534545898,3,91,91,True,True,AGP,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.6817102137767221,0.48826693016106615
26,26,1.0,0.0,26,0.715264081954956,3,87,87,True,True,AGP,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.6817102137767221,0.48322306591088304
27,27,1.0,0.0,27,0.7114448547363281,3,35,36,True,True,AGP,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.6817102137767221,0.485132679520197
28,28,1.0,0.0,28,0.639106273651123,3,263,263,True,True,AGP,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.6817102137767221,0.5213019700627995
29,29,1.0,0.0,29,0.3363516330718994,3,174,174,True,True,AGP,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.6817102137767221,0.6726792903524114
30,30,1.0,0.0,20,0.18910884857177734,3,17,131,True,True,Knapsack,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.6817102137767221,0.7463006826024724
31,31,1.0,0.0,21,0.23285961151123047,3,150,150,True,True,Knapsack,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.6817102137767221,0.7244253011327458
32,32,1.0,0.0,22,0.1945509910583496,3,118,118,True,True,Knapsack,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.6817102137767221,0.7435796113591863
33,33,1.0,0.0,23,0.19547104835510254,3,506,79,True,True,Knapsack,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.6817102137767221,0.7431195827108098
34,34,1.0,0.0,24,0.23545551300048828,3,290,290,True,True,Knapsack,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.6817102137767221,0.7231273503881169
35,35,1.0,0.0,25,0.2711155414581299,3,91,91,True,True,Knapsack,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.6817102137767221,0.7052973361592961
36,36,1.0,0.0,26,0.19405913352966309,3,87,87,True,True,Knapsack,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.6817102137767221,0.7438255401235295
37,37,1.0,0.0,27,0.27161169052124023,3,35,36,True,True,Knapsack,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.6817102137767221,0.705049261627741
38,38,1.0,0.0,28,0.22426080703735352,3,263,263,True,True,Knapsack,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.6817102137767221,0.7287247033696843
39,39,1.0,0.0,29,0.2210695743560791,3,174,174,True,True,Knapsack,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.6817102137767221,0.7303203197103215
40,40,1.0,0.0,20,0.25076818466186523,0,62,131,True,True,Random,0,rpi4-1,AlexNet,0.56522,0.742216171503125,0.6817102137767221,0.7154710145574285
41,41,1.0,0.0,21,0.2003631591796875,0,150,150,True,True,Random,0,rpi4-1,AlexNet,0.56522,0.742216171503125,0.6817102137767221,0.7406735272985173
42,42,1.0,0.0,22,0.20159697532653809,3,118,118,True,True,Random,0,rpi4-1,MobileNet,0.71878,0.8098070827125,0.6817102137767221,0.740056619225092
