,index,req_accuracy,req_delay,req_id,served_delay,served_model,served_pred,true_answer,client_id,served_model_name,served_accuracy,QoS,algorithm,mc_run
0,0,0.6876298862003911,0.027684147948582632,0,0.3270108699798584,3,134,134,rpi4-1,MobileNet,0.7276595744680852,0.925168319492181,Optimal,0
1,1,0.70492620577125,0.08266982137124076,1,0.25750088691711426,3,146,146,rpi4-1,MobileNet,0.7276595744680852,0.9562922336135316,Optimal,0
2,2,0.5867841898669266,0.05715946994853362,2,0.25998497009277344,0,102,102,rpi4-1,AlexNet,0.6,0.9492936249639401,Optimal,0
3,3,0.2256877133775711,0.35637797722234466,3,0.22574663162231445,0,147,147,rpi4-1,AlexNet,0.6,1.0,Optimal,0
4,4,0.9655513786816857,0.18165874790881678,4,0.25536179542541504,3,234,165,rpi4-1,MobileNet,0.7276595744680852,0.8626283360140501,Optimal,0
5,5,0.9841691278396147,0.07816022057871469,5,0.30707669258117676,3,276,276,rpi4-1,MobileNet,0.7276595744680852,0.8145161053136196,Optimal,0
6,6,0.0,0.06207340400555803,6,0.22969293594360352,0,59,61,rpi4-1,AlexNet,0.6,0.9580951170154886,Optimal,0
7,7,0.9155981751490392,0.06675699249826127,7,0.28389811515808105,3,267,267,rpi4-1,MobileNet,0.7276595744680852,0.851745418994568,Optimal,0
8,8,0.9472085267719739,0.15197285946550726,8,0.23352718353271484,3,322,322,rpi4-1,MobileNet,0.7276595744680852,0.8698369428312538,Optimal,0
9,9,0.559405804152248,0.0033874776984106555,9,0.23182940483093262,0,317,317,rpi4-1,AlexNet,0.6,0.9428895182168695,Optimal,0
10,10,0.7659592409219447,0.2941225068752483,10,0.23705005645751953,3,259,259,rpi4-1,MobileNet,0.7276595744680852,0.9808501667730702,Optimal,0
11,11,0.887196469963826,0.5210636415914532,11,0.22057485580444336,3,271,269,rpi4-1,MobileNet,0.7276595744680852,0.9202315522521296,Optimal,0
12,12,0.1862734029435964,0.5325177149730377,12,0.2012958526611328,0,144,144,rpi4-1,AlexNet,0.6,1.0,Optimal,0
13,13,0.988999068186427,0.1000706308969795,13,0.2642848491668701,3,33,33,rpi4-1,MobileNet,0.7276595744680852,0.8282766985733564,Optimal,0
14,14,0.9178649710819281,0.03487128002200445,14,0.26749324798583984,3,129,129,rpi4-1,MobileNet,0.7276595744680852,0.8467418097021198,Optimal,0
15,15,0.9846544731160445,1.0683272902429857,15,0.20509076118469238,3,134,134,rpi4-1,MobileNet,0.7276595744680852,0.8715025506760203,Optimal,0
16,16,0.9592599957784106,0.3108049160949404,16,0.21350312232971191,3,59,59,rpi4-1,MobileNet,0.7276595744680852,0.8841997893448372,Optimal,0
