,index,req_accuracy,req_delay,req_id,served_delay,served_model,served_pred,true_answer,client_id,served_model_name,served_accuracy,QoS,algorithm
0,0,0.9962910546658115,0.09216603621755037,0,0.3860340118408203,3,383,383,jetson,MobileNet,0.7777777777777778,0.8172763676501658,Optimal
1,1,0.5094649765923183,0.31908208532022997,1,0.211989164352417,0,832,971,jetson,AlexNet,0.0,0.7452675117038409,Optimal
2,2,0.9041864010582443,0.03752527261022864,2,0.16628766059875488,3,461,524,jetson,MobileNet,0.7777777777777778,0.9046050913626351,Optimal
3,3,0.8950044769128777,0.2948204132920066,3,0.1472327709197998,3,783,784,jetson,MobileNet,0.7777777777777778,0.9413866504324501,Optimal
4,4,0.9904116991571178,0.1427996593055001,4,0.14080595970153809,3,217,217,jetson,MobileNet,0.7777777777777778,0.89368303931033,Optimal
5,5,0.853287058405056,0.005097600886064248,5,0.13927984237670898,3,377,377,jetson,MobileNet,0.7777777777777778,0.9286997993136996,Optimal
6,6,0.845515033054715,0.011353444354139425,6,0.14540863037109375,3,658,658,jetson,MobileNet,0.7777777777777778,0.9326175758572928,Optimal
7,7,0.9888162568101401,0.05499103169226582,7,0.13152503967285156,3,253,253,jetson,MobileNet,0.7777777777777778,0.8753472584886725,Optimal
8,8,0.9905652060791643,0.0809614927879069,8,0.13813424110412598,3,951,951,jetson,MobileNet,0.7777777777777778,0.879313098770252,Optimal
9,9,0.9712170341928857,0.052290545830922956,9,0.1539318561553955,3,574,574,jetson,MobileNet,0.7777777777777778,0.8778700442113279,Optimal
10,0,0.9962910546658115,0.09216603621755037,0,0.17860126495361328,3,383,383,jetson,MobileNet,0.8,0.8802456654830786,EGP
11,1,0.5094649765923183,0.31908208532022997,1,0.14313364028930664,3,971,971,jetson,MobileNet,0.8,1.0,EGP
12,2,0.9041864010582443,0.03752527261022864,2,0.1358346939086914,3,461,524,jetson,MobileNet,0.8,0.9233294441462622,EGP
13,3,0.8950044769128777,0.2948204132920066,3,0.12762117385864258,3,783,784,jetson,MobileNet,0.8,0.9524977615435612,EGP
14,4,0.9904116991571178,0.1427996593055001,4,0.12869644165039062,3,217,217,jetson,MobileNet,0.8,0.9047941504214412,EGP
15,5,0.853287058405056,0.005097600886064248,5,0.11288213729858398,3,377,377,jetson,MobileNet,0.8,0.946410336694342,EGP
16,6,0.845515033054715,0.011353444354139425,6,0.11582827568054199,3,658,658,jetson,MobileNet,0.8,0.9511237756410419,EGP
17,7,0.9888162568101401,0.05499103169226582,7,0.1141517162322998,3,253,253,jetson,MobileNet,0.8,0.8908017004599215,EGP
18,8,0.9905652060791643,0.0809614927879069,8,0.10894155502319336,3,951,951,jetson,MobileNet,0.8,0.8977223814015962,EGP
