,index,req_accuracy,req_delay,req_id,served_delay,served_model,served_pred,true_answer,client_id,served_model_name,served_accuracy,QoS,algorithm,mc_run
0,0,0.9988025456253085,0.12815093629931995,200,0.39814209938049316,3,9,9,rpi4-1,MobileNet,0.7610921501706485,0.8136470115023767,Optimal,0
1,1,0.9982995429612052,0.01844407613303468,201,0.28199100494384766,3,26,26,rpi4-1,MobileNet,0.7610921501706485,0.8155095714020184,Optimal,0
2,2,0.9999695971760054,0.003514597307383678,202,0.27794361114501953,3,330,330,rpi4-1,MobileNet,0.7610921501706485,0.8119540230379125,Optimal,0
3,3,0.9906205081532963,0.1322776187756017,203,0.26563000679016113,3,537,166,rpi4-1,MobileNet,0.7610921501706485,0.8518977240050363,Optimal,0
4,4,0.8954863022372277,0.1809556290344155,204,0.23297548294067383,3,200,204,rpi4-1,MobileNet,0.7610921501706485,0.9197979604901458,Optimal,0
5,5,0.9803085160236243,0.1342045360793357,205,0.21898293495178223,3,19,19,rpi4-1,MobileNet,0.7610921501706485,0.8691972173554003,Optimal,0
6,6,0.995343841786521,0.049559995165562476,206,0.2315199375152588,3,263,263,rpi4-1,MobileNet,0.7610921501706485,0.8373841686046397,Optimal,0
7,7,0.9999459516076599,0.18131159018272122,207,0.26253604888916016,3,997,125,rpi4-1,MobileNet,0.7610921501706485,0.8602669846048845,Optimal,0
8,8,0.9471678818997377,0.1957460243173627,208,0.2147228717803955,3,95,95,rpi4-1,MobileNet,0.7610921501706485,0.9022179222696972,Optimal,0
9,9,0.9258331915145764,0.13178777853329462,209,0.22496914863586426,3,50,50,rpi4-1,MobileNet,0.7610921501706485,0.8943341368023936,Optimal,0
10,10,0.9997798441311291,0.0209309516091209,210,0.2153475284576416,3,256,256,rpi4-1,MobileNet,0.7610921501706485,0.8320520088076295,Optimal,0
11,11,0.8636643881185944,0.09447909960601823,211,0.22738194465637207,3,72,72,rpi4-1,MobileNet,0.7610921501706485,0.9154881697634386,Optimal,0
12,12,0.9832132416024919,0.012951676923394126,212,0.22425174713134766,3,87,87,rpi4-1,MobileNet,0.7610921501706485,0.8361144367320898,Optimal,0
13,13,0.9461531485912553,0.03936746733371248,213,0.2669405937194824,3,274,274,rpi4-1,MobileNet,0.7610921501706485,0.8505762191932541,Optimal,0
14,14,0.9589237677306099,0.46395925512755165,214,0.25467896461486816,3,53,63,rpi4-1,MobileNet,0.7610921501706485,0.9010841912200193,Optimal,0
15,15,0.9780725535617941,0.06440062487709837,215,0.23136329650878906,3,88,88,rpi4-1,MobileNet,0.7610921501706485,0.8497691303965045,Optimal,0
16,16,0.9879176010678663,0.07447776410487429,216,0.30838727951049805,3,270,274,rpi4-1,MobileNet,0.7610921501706485,0.8281098956999852,Optimal,0
17,17,0.9903971507257896,0.060311337917979296,217,0.23505401611328125,3,177,177,rpi4-1,MobileNet,0.7610921501706485,0.841661830173604,Optimal,0
18,18,0.9929851276589519,0.12162077835247316,218,0.32407307624816895,3,239,239,rpi4-1,MobileNet,0.7610921501706485,0.8334404367819244,Optimal,0
19,19,0.9825923558299043,0.05003150990497702,219,0.2447831630706787,3,172,172,rpi4-1,MobileNet,0.7610921501706485,0.8405619838789467,Optimal,0
20,20,0.9847388424302429,0.08144146113782792,220,0.2987828254699707,3,3,3,rpi4-1,MobileNet,0.7610921501706485,0.8338413127871671,Optimal,0
21,21,0.9302776821368103,0.05995851340024155,221,0.27689313888549805,3,138,138,rpi4-1,MobileNet,0.7610921501706485,0.861173577645605,Optimal,0
