,index,req_accuracy,req_delay,req_id,served_delay,served_model,served_pred,true_answer,client_id,served_model_name,served_accuracy,QoS,algorithm,mc_run
0,0,0.8890116465494536,0.0192734878581528,200,0.44629812240600586,3,92,92,rpi4-1,MobileNet,0.7389830508474576,0.8182295435120388,Optimal,0
1,1,0.8488396276582455,0.02927487808546937,201,0.2583599090576172,3,108,108,rpi4-1,MobileNet,0.7389830508474576,0.8878004538515691,Optimal,0
2,2,0.9745127821477514,0.06619845952044358,202,0.2685887813568115,3,241,241,rpi4-1,MobileNet,0.7389830508474576,0.8316375538907611,Optimal,0
3,3,0.8902733097764846,0.008422922837516784,203,0.28035426139831543,3,310,310,rpi4-1,MobileNet,0.7389830508474576,0.8563720358952869,Optimal,0
4,4,0.9434758751483631,0.009072623859256378,204,0.21757912635803223,3,172,171,rpi4-1,MobileNet,0.7389830508474576,0.8456269622248533,Optimal,0
5,5,0.802781836073447,0.12491203595096492,205,0.22266530990600586,3,31,31,rpi4-1,MobileNet,0.7389830508474576,0.9436622888982451,Optimal,0
6,6,0.8377867246840947,0.17947570195593643,206,0.2617981433868408,3,64,64,rpi4-1,MobileNet,0.7389830508474576,0.9300175527239554,Optimal,0
7,7,0.8593242275047609,0.18781334014206677,207,0.22607779502868652,3,262,262,rpi4-1,MobileNet,0.7389830508474576,0.9302632979496934,Optimal,0
8,8,0.5166949632156281,0.12693336818454878,208,0.27422547340393066,0,242,159,rpi4-1,AlexNet,0.6,0.9631769736951545,Optimal,0
9,9,0.8081493039018767,0.05866742515913095,209,0.27386021614074707,3,85,85,rpi4-1,MobileNet,0.7389830508474576,0.9116186757273865,Optimal,0
10,10,0.9098403835820195,0.012078448672305864,210,0.2342362403869629,3,973,108,rpi4-1,MobileNet,0.7389830508474576,0.8590318857040549,Optimal,0
11,11,0.9192328533442894,0.1152733886830127,211,0.23799538612365723,3,75,77,rpi4-1,MobileNet,0.7389830508474576,0.879194599391423,Optimal,0
12,12,0.6037439050106684,0.19061015480159496,212,0.23986244201660156,3,230,230,rpi4-1,MobileNet,0.7389830508474576,0.9876869281962484,Optimal,0
13,13,0.9768383820633431,0.04245734707876662,213,0.28209543228149414,3,47,47,rpi4-1,MobileNet,0.7389830508474576,0.8211628130913754,Optimal,0
14,14,0.9526980416951617,0.034676376617415725,214,0.26892876625061035,3,248,248,rpi4-1,MobileNet,0.7389830508474576,0.8345794071678493,Optimal,0
15,15,0.9428853173294249,0.057473171349213155,215,0.22266364097595215,3,247,247,rpi4-1,MobileNet,0.7389830508474576,0.8567512493523316,Optimal,0
16,16,0.946325932119109,0.1648200449476955,216,0.2763984203338623,3,274,274,rpi4-1,MobileNet,0.7389830508474576,0.8684339655176326,Optimal,0
17,17,0.8790073789451458,0.04724036999465156,217,0.2256782054901123,3,64,64,rpi4-1,MobileNet,0.7389830508474576,0.8853783770772907,Optimal,0
18,18,0.6265225431979538,0.06314744142941282,218,0.22823238372802734,3,217,217,rpi4-1,MobileNet,0.7389830508474576,0.9587287644253464,Optimal,0
19,19,0.8469558429142494,0.5266886685276879,219,0.31748270988464355,3,129,129,rpi4-1,MobileNet,0.7389830508474576,0.946013603966604,Optimal,0
20,20,0.6338118023991137,0.042342497662435565,220,0.28037452697753906,3,16,91,rpi4-1,MobileNet,0.7389830508474576,0.9404919926712241,Optimal,0
21,21,0.8141597851597815,0.010065091037466728,221,0.24493861198425293,3,48,48,rpi4-1,MobileNet,0.7389830508474576,0.9036932526071415,Optimal,0
